,Table. Test 3+4+6+7+8+10+11 RESULTS,,,,,,,,,,
With Canopy,,,,,,,,,,ndata,124
Data with only values,,,,,,,,,,,
,,,,Inputs,,,,Outputs,,,
Test,Gage,"Charge weights
C4","Range
R","Charge weights
TNT","Range
Rx","Range
Ry","Elevation
h","Peak Side-on 
Overpressure",Total impulse,,
No.,No.,(kg),(m),(kg),(m),(m),(m),(kPa),(kPa-msec),,
2,F1-1,0.463,0.686,0.522,0.686,0,0.000,44.40,68.95,,
,F1-2,0.463,0.686,0.522,0.686,0,0.686,46.68,48.26,,
,F2-1,0.463,1.372,0.522,1.372,0,0.000,26.82,48.26,,
,F2-2,0.463,1.372,0.522,1.372,0,0.686,19.79,34.47,,
,F3-1,0.463,2.057,0.522,2.057,0,0.000,25.23,41.37,,
,F3-2,0.463,2.057,0.522,2.057,0,0.686,17.58,34.47,,
,F4-1,0.463,2.743,0.522,2.743,0,0.000,25.23,34.47,,
,F4-2,0.463,2.743,0.522,2.743,0,0.686,17.17,34.47,,
,F6-1,0.463,4.115,0.522,4.115,0,0.000,17.65,34.47,,
,F6-2,0.463,4.115,0.522,4.115,0,0.686,11.86,34.47,,
,F8-1,0.463,5.486,0.522,5.486,0,0.000,17.37,27.58,,
,F8-2,0.463,5.486,0.522,5.486,0,1.372,16.48,27.58,,
,S2-1,0.463,1.372,0.522,0.970,0.970,0.000,34.13,48.26,,
,S2-2,0.463,1.372,0.522,0.970,0.970,0.686,29.51,41.37,,
,S4-1,0.463,2.743,0.522,1.940,1.940,0.000,39.16,41.37,,
,S4-2,0.463,2.743,0.522,1.940,1.940,0.686,17.31,34.47,,
,S8-1,0.463,5.486,0.522,3.879,3.879,0.000,20.41,27.58,,
,S8-2,0.463,5.486,0.522,3.879,3.879,0.686,9.24,20.68,,
3,F1-1,0.463,0.686,0.522,0.686,0,0.000,57.92,75.84,,
,F1-2,0.463,0.686,0.522,0.686,0,0.686,36.40,62.05,,
,F2-1,0.463,1.372,0.522,1.372,0,0.000,26.48,48.26,,
,F2-2,0.463,1.372,0.522,1.372,0,0.686,22.06,41.37,,
