,Table. Test 3+4+6+7+8+10+11 RESULTS,,,,,,,,,,,,,,,,,
With Canopy,,,,,,,,,,,,,,,,,ndata,124
Data with only values,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Inputs,,,,,Outputs,,,
Test,Gage,"Charge weights
C4","Charge weights
TNT","Wall height
H","Canopy length
Lc","Range
R","Range
Rx","Range
Ry","Elevation
h",H/W1/3,Lc/W1/3,Rx/W1/3,Ry/W1/3,h/W1/3,"Peak Side-on 
Overpressure",Total impulse,,
No.,No.,(kg),(kg),(m),(m),(m),(m),(m),(m),(m/kg1/3),(m/kg1/3),(m/kg1/3),(m/kg1/3),(m/kg1/3),(kPa),(kPa-msec),,
2,F1-1,0.463,0.522,0.6858,0.3080,0.686,0.686,0.000,0.000,0.438,0.197,0.438,0.000,0.000,44.40,68.95,,
,F1-2,0.463,0.522,0.6858,0.3080,0.686,0.686,0.000,0.686,0.438,0.197,0.438,0.000,0.438,46.68,48.26,,
,F2-1,0.463,0.522,0.6858,0.3080,1.372,1.372,0.000,0.000,0.438,0.197,0.875,0.000,0.000,26.82,48.26,,
,F2-2,0.463,0.522,0.6858,0.3080,1.372,1.372,0.000,0.686,0.438,0.197,0.875,0.000,0.438,19.79,34.47,,
,F3-1,0.463,0.522,0.6858,0.3080,2.057,2.057,0.000,0.000,0.438,0.197,1.313,0.000,0.000,25.23,41.37,,
,F3-2,0.463,0.522,0.6858,0.3080,2.057,2.057,0.000,0.686,0.438,0.197,1.313,0.000,0.438,17.58,34.47,,
,F4-1,0.463,0.522,0.6858,0.3080,2.743,2.743,0.000,0.000,0.438,0.197,1.751,0.000,0.000,25.23,34.47,,
,F4-2,0.463,0.522,0.6858,0.3080,2.743,2.743,0.000,0.686,0.438,0.197,1.751,0.000,0.438,17.17,34.47,,
,F6-1,0.463,0.522,0.6858,0.3080,4.115,4.115,0.000,0.000,0.438,0.197,2.626,0.000,0.000,17.65,34.47,,
,F6-2,0.463,0.522,0.6858,0.3080,4.115,4.115,0.000,0.686,0.438,0.197,2.626,0.000,0.438,11.86,34.47,,
