['0.195', '0.195', '0.438', '0.197', '0.438', '0.000', '0.000', '44.40', '68.95']
['0.195', '0.195', '0.438', '0.197', '0.438', '0.000', '0.438', '46.68', '48.26']
['0.195', '0.195', '0.438', '0.197', '0.875', '0.000', '0.000', '26.82', '48.26']
['0.195', '0.195', '0.438', '0.197', '0.875', '0.000', '0.438', '19.79', '34.47']
['0.195', '0.195', '0.438', '0.197', '1.313', '0.000', '0.000', '25.23', '41.37']
['0.195', '0.195', '0.438', '0.197', '1.313', '0.000', '0.438', '17.58', '34.47']
['0.195', '0.195', '0.438', '0.197', '1.751', '0.000', '0.000', '25.23', '34.47']
['0.195', '0.195', '0.438', '0.197', '1.751', '0.000', '0.438', '17.17', '34.47']
['0.195', '0.195', '0.438', '0.197', '2.626', '0.000', '0.000', '17.65', '34.47']
['0.195', '0.195', '0.438', '0.197', '2.626', '0.000', '0.438', '11.86', '34.47']
['0.195', '0.195', '0.438', '0.197', '3.501', '0.000', '0.000', '17.37', '27.58']
['0.195', '0.195', '0.438', '0.197', '3.501', '0.000', '0.875', '16.48', '27.58']
['0.195', '0.195', '0.438', '0.197', '0.619', '0.619', '0.000', '34.13', '48.26']
['0.195', '0.195', '0.438', '0.197', '0.619', '0.619', '0.438', '29.51', '41.37']
['0.195', '0.195', '0.438', '0.197', '1.238', '1.238', '0.000', '39.16', '41.37']
['0.195', '0.195', '0.438', '0.197', '1.238', '1.238', '0.438', '17.31', '34.47']
['0.195', '0.195', '0.438', '0.197', '2.476', '2.476', '0.000', '20.41', '27.58']
['0.195', '0.195', '0.438', '0.197', '2.476', '2.476', '0.438', '9.24', '20.68']
['0.195', '0.195', '0.438', '0.192', '0.438', '0.000', '0.000', '57.92', '75.84']
['0.195', '0.195', '0.438', '0.192', '0.438', '0.000', '0.438', '36.40', '62.05']
['0.195', '0.195', '0.438', '0.192', '0.875', '0.000', '0.000', '26.48', '48.26']
['0.195', '0.195', '0.438', '0.192', '0.875', '0.000', '0.438', '22.06', '41.37']
['0.195', '0.195', '0.438', '0.192', '1.313', '0.000', '0.000', '23.10', '48.26']
['0.195', '0.195', '0.438', '0.192', '1.313', '0.000', '0.438', '19.37', '41.37']
['0.195', '0.195', '0.438', '0.192', '1.751', '0.000', '0.000', '23.44', '41.37']
['0.195', '0.195', '0.438', '0.192', '1.751', '0.000', '0.438', '18.82', '34.47']
['0.195', '0.195', '0.438', '0.192', '2.626', '0.000', '0.000', '21.03', '34.47']
['0.195', '0.195', '0.438', '0.192', '2.626', '0.000', '0.438', '9.24', '34.47']
['0.195', '0.195', '0.438', '0.192', '3.501', '0.000', '0.000', '11.45', '27.58']
['0.195', '0.195', '0.438', '0.192', '3.501', '0.000', '0.875', '9.79', '27.58']
['0.195', '0.195', '0.438', '0.192', '0.619', '0.619', '0.000', '33.85', '48.26']
