,Table . Test 1+4+8 RESULTS,,,,,,,,,,
No Canopy,,,,,,,,,,ndata,50
Data with only values,,,,,,,,,,,
,,,,Inputs,,,,Outputs,,,
Test,Gage,"Charge weights
C4","Range
R","Charge weights
TNT","Range
Rx","Range
Ry","Elevation
h","Peak Side-on
Overpressue",Total impulse,,
No.,No.,(kg),(m),(kg),(m),(m),(m),(kPa),(kPa-msec),,
1,F1-1,0.463,0.686,0.522,0.686,0,0.000,108.39,89.63,,
,F1-2,0.463,0.686,0.522,0.686,0,0.686,103.97,62.05,,
,F2-1,0.463,1.372,0.522,1.372,0,0.000,57.36,62.05,,
,F2-2,0.463,1.372,0.522,1.372,0,0.686,43.30,55.16,,
,F3-1,0.463,2.057,0.522,2.057,0,0.000,48.81,55.16,,
,F3-2,0.463,2.057,0.522,2.057,0,0.686,22.27,41.37,,
,F4-1,0.463,2.743,0.522,2.743,0,0.000,44.26,41.37,,
,F4-2,0.463,2.743,0.522,2.743,0,0.686,26.20,41.37,,
,F6-1,0.463,4.115,0.522,4.115,0,0.000,24.27,41.37,,
,F6-2,0.463,4.115,0.522,4.115,0,0.686,12.89,34.47,,
,F8-1,0.463,5.486,0.522,5.486,0,0.000,24.82,34.47,,
,F8-2,0.463,5.486,0.522,5.486,0,1.372,15.93,27.58,,
,S2-1,0.463,1.372,0.522,0.970,0.970,0.000,91.63,62.05,,
,S2-2,0.463,1.372,0.522,0.970,0.970,0.686,65.22,48.26,,
,S4-1,0.463,2.743,0.522,1.940,1.940,0.000,52.61,41.37,,
,S4-2,0.463,2.743,0.522,1.940,1.940,0.686,21.10,34.47,,
,S8-1,0.463,5.486,0.522,3.879,3.879,0.000,19.79,27.58,,
,S8-2,0.463,5.486,0.522,3.879,3.879,0.686,10.55,27.58,,
4,F1-1,3.629,0.686,4.097,0.686,0,0.000,205.74,248.21,,
,F1-2,3.629,0.686,4.097,0.686,0,0.686,203.88,151.68,,
,F2-1,3.629,1.372,4.097,1.372,0,0.000,248.21,199.95,,
,F2-2,3.629,1.372,4.097,1.372,0,0.686,150.51,158.58,,
,F3-1,3.629,2.057,4.097,2.057,0,0.000,185.12,220.63,,
,F3-2,3.629,2.057,4.097,2.057,0,0.686,96.39,193.05,,
,F4-1,3.629,2.743,4.097,2.743,0,0.000,112.45,172.37,,
,F4-2,3.629,2.743,4.097,2.743,0,0.686,48.61,137.90,,
,F6-1,3.629,4.115,4.097,4.115,0,0.000,66.88,137.90,,
,F6-2,3.629,4.115,4.097,4.115,0,0.686,46.82,137.90,,
,F8-1,3.629,5.486,4.097,5.486,0,0.000,51.37,124.11,,
,F8-2,3.629,5.486,4.097,5.486,0,1.372,39.16,124.11,,
,S2-1,3.629,1.372,4.097,0.970,0.970,0.000,195.74,255.11,,
,S4-1,3.629,2.743,4.097,1.940,1.940,0.000,168.23,172.37,,
,S4-2,3.629,2.743,4.097,1.940,1.940,0.686,169.54,172.37,,
,S8-1,3.629,5.486,4.097,3.879,3.879,0.000,53.78,96.53,,
,S8-2,3.629,5.486,4.097,3.879,3.879,0.686,38.40,110.32,,
8,F1-1,6.804,0.686,7.682,0.686,0,0.000,271.24,241.32,,
,F2-1,6.804,1.372,7.682,1.372,0,0.000,270.96,227.53,,
,F2-2,6.804,1.372,7.682,1.372,0,0.686,144.38,344.74,,
,F3-1,6.804,2.057,7.682,2.057,0,0.000,214.50,199.95,,
,F4-1,6.804,2.743,7.682,2.743,0,0.000,159.13,206.84,,
,F4-2,6.804,2.743,7.682,2.743,0,0.686,57.78,186.16,,
,F6-1,6.804,4.115,7.682,4.115,0,0.000,97.91,172.37,,
,F6-2,6.804,4.115,7.682,4.115,0,0.686,53.78,158.58,,
,F8-1,6.804,5.486,7.682,5.486,0,0.000,63.02,151.68,,
,F8-2,6.804,5.486,7.682,5.486,0,1.372,41.37,144.79,,
,S2-1,6.804,1.372,7.682,0.970,0.970,0.000,287.17,268.90,,
,S4-1,6.804,2.743,7.682,1.940,1.940,0.000,214.84,220.63,,
,S4-2,6.804,2.743,7.682,1.940,1.940,0.686,250.49,255.11,,
,S8-1,6.804,5.486,7.682,3.879,3.879,0.000,78.95,131.00,,
,S8-2,6.804,5.486,7.682,3.879,3.879,0.686,51.09,117.21,,
