['0.522', '0.686', '0', '0.000', '108.39', '89.63']
['0.522', '0.686', '0', '0.686', '103.97', '62.05']
['0.522', '1.372', '0', '0.000', '57.36', '62.05']
['0.522', '1.372', '0', '0.686', '43.30', '55.16']
['0.522', '2.057', '0', '0.000', '48.81', '55.16']
['0.522', '2.057', '0', '0.686', '22.27', '41.37']
['0.522', '2.743', '0', '0.000', '44.26', '41.37']
['0.522', '2.743', '0', '0.686', '26.20', '41.37']
['0.522', '4.115', '0', '0.000', '24.27', '41.37']
['0.522', '4.115', '0', '0.686', '12.89', '34.47']
['0.522', '5.486', '0', '0.000', '24.82', '34.47']
['0.522', '5.486', '0', '1.372', '15.93', '27.58']
['0.522', '0.970', '0.970', '0.000', '91.63', '62.05']
['0.522', '0.970', '0.970', '0.686', '65.22', '48.26']
['0.522', '1.940', '1.940', '0.000', '52.61', '41.37']
['0.522', '1.940', '1.940', '0.686', '21.10', '34.47']
['0.522', '3.879', '3.879', '0.000', '19.79', '27.58']
['0.522', '3.879', '3.879', '0.686', '10.55', '27.58']
['4.097', '0.686', '0', '0.000', '205.74', '248.21']
['4.097', '0.686', '0', '0.686', '203.88', '151.68']
['4.097', '1.372', '0', '0.000', '248.21', '199.95']
['4.097', '1.372', '0', '0.686', '150.51', '158.58']
['4.097', '2.057', '0', '0.000', '185.12', '220.63']
['4.097', '2.057', '0', '0.686', '96.39', '193.05']
['4.097', '2.743', '0', '0.000', '112.45', '172.37']
['4.097', '2.743', '0', '0.686', '48.61', '137.90']
['4.097', '4.115', '0', '0.000', '66.88', '137.90']
['4.097', '4.115', '0', '0.686', '46.82', '137.90']
['4.097', '5.486', '0', '0.000', '51.37', '124.11']
['4.097', '5.486', '0', '1.372', '39.16', '124.11']
['4.097', '0.970', '0.970', '0.000', '195.74', '255.11']
['4.097', '1.940', '1.940', '0.000', '168.23', '172.37']
['4.097', '1.940', '1.940', '0.686', '169.54', '172.37']
['4.097', '3.879', '3.879', '0.000', '53.78', '96.53']
['4.097', '3.879', '3.879', '0.686', '38.40', '110.32']
['7.682', '0.686', '0', '0.000', '271.24', '241.32']
['7.682', '1.372', '0', '0.000', '270.96', '227.53']
['7.682', '1.372', '0', '0.686', '144.38', '344.74']
['7.682', '2.057', '0', '0.000', '214.50', '199.95']
['7.682', '2.743', '0', '0.000', '159.13', '206.84']
['7.682', '2.743', '0', '0.686', '57.78', '186.16']
['7.682', '4.115', '0', '0.000', '97.91', '172.37']
['7.682', '4.115', '0', '0.686', '53.78', '158.58']
['7.682', '5.486', '0', '0.000', '63.02', '151.68']
['7.682', '5.486', '0', '1.372', '41.37', '144.79']
['7.682', '0.970', '0.970', '0.000', '287.17', '268.90']
['7.682', '1.940', '1.940', '0.000', '214.84', '220.63']
['7.682', '1.940', '1.940', '0.686', '250.49', '255.11']
['7.682', '3.879', '3.879', '0.000', '78.95', '131.00']
['7.682', '3.879', '3.879', '0.686', '51.09', '117.21']
