Ladungsmenge Q,Abstand R,einfallender Spitzenüberdruck Pso,reflektierter Spitzenüberdruck Pr,einfallender Impuls is,reflektierter Impuls ir,Schockwellengeschwindigkeit u,Ankunftszeit ta,Dauer der Druckphase td,einfallender Spitzenüberdruck Pso,reflektierter Spitzenüberdruck Pr,einfallender Impuls is,reflektierter Impuls ir,Schockwellengeschwindigkeit u,Ankunftszeit ta,Dauer der Druckphase td
1,1,934.8613649,5005.579166,174.542539,559.0338153,1011.327658,0.531838683,1.794867194,1356.738737,8144.946706,236.4276277,884.7721897,1196.355416,0.467509128,1.737012569
1,1.1,755.2096172,3790.777182,161.2474324,493.9997977,921.4360627,0.635719303,1.822868534,1105.833427,6268.397794,226.7628806,778.9069402,1089.551107,0.556174732,2.048341921
1,1.2,620.3452055,2931.233299,148.9539123,441.9086755,847.6864446,0.748672886,1.791595178,913.2263266,4895.603342,214.27278,694.4374915,999.8880598,0.652827519,2.171463629
1,1.3,517.102581,2309.465475,138.0766509,399.3333911,786.5679638,0.870443251,1.739040739,763.2993777,3877.266313,201.2170304,625.6403268,924.2438105,0.757376706,2.216252007
1,1.4,436.6856683,1850.604748,128.6042968,363.941903,735.4483599,1.000745735,1.696617024,645.0892484,3111.770213,188.67278,568.6346111,860.0948694,0.869691284,2.204359825
1,1.5,373.0726315,1505.755382,120.3816224,334.0962116,692.3295959,1.139275292,1.676719689,550.7722627,2528.967375,177.088959,520.7034075,805.4036851,0.989607196,2.158747694
1,1.6,322.050201,1242.262196,113.2230153,308.6144135,655.6773851,1.285713163,1.678463305,474.6829608,2079.812278,166.5979615,479.8922201,758.5253423,1.116933703,2.10610066
1,1.7,280.6123305,1037.864723,106.9545649,286.6237304,624.30061,1.439732348,1.696890302,412.6635676,1729.598368,157.1815378,444.7617919,718.1304265,1.251459002,2.06480132
1,1.8,246.5761186,877.09979,101.4268227,267.466559,597.2649753,1.601002069,1.729222494,361.6247461,1453.479555,148.7562841,414.2305337,683.1420254,1.39295514,2.042236934
1,1.9,218.330832,749.0378166,96.51607757,250.6386001,573.8304639,1.769191391,1.777201657,319.2442956,1233.467553,141.2164413,387.4710309,652.6849185,1.541182283,2.038224405
1,2,194.6704711,645.8287395,92.121592,235.7470377,553.4055386,1.943972119,1.845899011,283.7575525,1056.395996,134.4544722,363.8402643,626.0449852,1.695892403,2.049458913
1,2.1,174.6799445,561.7500126,88.161823,222.4816127,535.5132536,2.125021113,1.939539136,253.8097016,912.5252607,128.3702444,342.8314572,602.6369701,1.85683244,2.072901338
1,2.2,157.65634,492.5721845,84.57078238,210.5942021,519.7659266,2.312022096,2.05429972,228.3504638,794.5764477,122.8744796,324.0401572,581.978967,2.023746983,2.107675312
1,2.3,143.0536021,435.1290869,81.29490925,199.8841357,505.8460261,2.504667046,2.170539637,206.5581561,697.0556855,117.8894075,307.139899,563.6722384,2.196380539,2.155519247
1,2.4,130.4430844,387.0221351,78.29051532,190.1874635,493.4916153,2.702657248,2.271136024,187.784348,615.7768073,113.348138,291.8644494,547.3852419,2.374479426,2.219970548
1,2.5,119.4850405,346.4139519,75.52174895,181.3689915,482.4851684,2.905704055,2.360089974,171.5131229,547.5208617,109.1935195,277.9946582,532.8409614,2.557793331,2.304462034
1,2.6,109.9077603,311.8823856,72.95899169,173.3162921,472.6449046,3.113529414,2.439169107,157.3308018,489.7909169,105.3768649,265.3485867,519.8068285,2.746076596,2.409331887
1,2.7,101.492123,282.3159403,70.57760179,165.9351428,463.8180197,3.325866204,2.509923258,144.9032375,440.6338482,101.8567229,253.7740021,508.0866776,2.93908924,2.527494132
1,2.8,94.06003552,256.837981,68.3569305,159.1460129,455.875358,3.542458406,2.573683267,133.9586384,398.5096429,98.59777011,243.142607,497.5142978,3.136597771,2.659981983
1,2.9,87.46569193,234.7511809,66.27955065,152.8813288,448.7071882,3.763061151,2.631575982,124.2744677,362.1947157,95.56984721,233.3455541,487.9482423,3.338375816,2.74812926
1,3,81.58890154,215.4963786,64.33064995,147.0833245,442.2198304,3.987440665,2.684546431,115.6673716,330.7097794,92.74713683,224.289927,479.2676326,3.544204577,2.830493465
1,3.1,76.32995148,198.6218048,62.49755172,141.702338,436.332945,4.215374125,2.733382025,107.9853789,303.2655979,90.10747115,215.8959532,471.3687505,3.75387317,2.90753544
1,3.2,71.60561723,183.7598507,60.76933467,136.6954476,430.9773397,4.446649458,2.778736001,101.101815,279.2218653,87.63175236,208.0947787,464.162258,3.967178829,2.979692377
1,3.3,67.34604031,170.6093741,59.13652955,132.0253745,426.093185,4.681065086,2.821148779,94.91052181,258.0558012,85.30346945,200.8266773,457.5709192,4.183927028,3.047374413
1,3.4,63.49226638,158.922112,57.59087591,127.6595906,421.6285531,4.918429629,2.861066714,89.32207863,239.3379908,83.10829583,194.0395987,451.5277245,4.403931516,3.110963059
1,3.5,59.99429053,148.492163,56.12512602,123.5695907,417.5382162,5.158561585,2.898858177,84.26079502,222.713669,81.0337544,187.6879837,445.9743405,4.627014276,3.17081093
